side,No.,Title,Writer(s),Length
1,1,Whole Lotta Love,John Bonham|Willie Dixon|John Paul Jones|Jimmy Page|Robert Plant,5:34:00
1,2,What Is and What Should Never Be,Jimmy Page|Robert Plant,4:46:00
1,3,The Lemon Song,John Bonham|Chester Burnett|John Paul Jones|Jimmy Page|Robert Plant,6:19:00
1,4,Thank You,Jimmy Page|Robert Plant,4:49:00
2,1,Heartbreaker,John Bonham|John Paul Jones|Jimmy Page|Robert Plant,4:14:00
2,2,Living Loving Maid (She's Just a Woman),Jimmy Page|Robert Plant,2:39:00
2,3,Ramble On,Jimmy Page|Robert Plant,4:34:00
2,4,Moby Dick,John Bonham|John Paul Jones|Jimmy Page,4:20:00
2,5,Bring It On Home,Willie Dixon,4:19:00
